
 235600|and dx,[bp] 
 235e00|and bx,[bp] 
 236600|and sp,[bp] 
 236e00|and bp,[bp] 
 237600|and si,[bp] 
 237e00|and di,[bp] 
 24ff|and al,0xff 
 250010|and ax,0x1000 
 28c0|sub al,al 
 28c1|sub cl,al 
 28c2|sub dl,al 
 28c3|sub bl,al 
 28c4|sub ah,al 
 28c5|sub ch,al 
 28c6|sub dh,al 
 28c7|sub bh,al 
 28c8|sub al,cl 
 28c9|sub cl,cl 
 28ca|sub dl,cl 
 28cb|sub bl,cl 
 28cc|sub ah,cl 
 28cd|sub ch,cl 
 28ce|sub dh,cl 
 28cf|sub bh,cl 
 28d0|sub al,dl 
 28d1|sub cl,dl 
 28d2|sub dl,dl 
 28d3|sub bl,dl 
 28d4|sub ah,dl 
 28d5|sub ch,dl 
 28d6|sub dh,dl 
 28d7|sub bh,dl 
 28d8|sub al,bl 
 28d9|sub cl,bl 
 28da|sub dl,bl 
 28db|sub bl,bl 
 28dc|sub ah,bl 
 28dd|sub ch,bl 
 28de|sub dh,bl 
 28df|sub bh,bl 
 28e0|sub al,ah 
 28e1|sub cl,ah 
 28e2|sub dl,ah 
 28e3|sub bl,ah 
 28e4|sub ah,ah 
 28e5|sub ch,ah 
 28e6|sub dh,ah 
 28e7|sub bh,ah 
 28e8|sub al,ch 
 28e9|sub cl,ch 
 28ea|sub dl,ch 
 28eb|sub bl,ch 
 28ec|sub ah,ch 
 28ed|sub ch,ch 
 28ee|sub dh,ch 
 28ef|sub bh,ch 
 28f0|sub al,dh 
 28f1|sub cl,dh 
 28f2|sub dl,dh 
 28f3|sub bl,dh 
 28f4|sub ah,dh 
 28f5|sub ch,dh 
 28f6|sub dh,dh 
 28f7|sub bh,dh 
 28f8|sub al,bh 
 28f9|sub cl,bh 
 28fa|sub dl,bh 
 28fb|sub bl,bh 
 28fc|sub ah,bh 
 28fd|sub ch,bh 
 28fe|sub dh,bh 
 28ff|sub bh,bh 
 2904|sub [si],ax 
 2905|sub [di],ax 
 2907|sub [bx],ax 
 290c|sub [si],cx 
 290d|sub [di],cx 
 290f|sub [bx],cx 
 2914|sub [si],dx 
 2915|sub [di],dx 
 2917|sub [bx],dx 
 291c|sub [si],bx 
 291d|sub [di],bx 
 291f|sub [bx],bx 
 2924|sub [si],sp 
 2925|sub [di],sp 
 2927|sub [bx],sp 
 292c|sub [si],bp 
 292d|sub [di],bp 
 292f|sub [bx],bp 
 2934|sub [si],si 
 2935|sub [di],si 
 2937|sub [bx],si 
 293c|sub [si],di 
 293d|sub [di],di 
 293f|sub [bx],di 
 294600|sub [bp],ax 
 294e00|sub [bp],cx 
 295600|sub [bp],dx 
 295e00|sub [bp],bx 
 296600|sub [bp],sp 
 296e00|sub [bp],bp 
 297600|sub [bp],si 
 297e00|sub [bp],di 
 29c0|sub ax,ax 
 29c1|sub cx,ax 
 29c2|sub dx,ax 
 29c3|sub bx,ax 
 29c4|sub sp,ax 
 29c5|sub bp,ax 
 29c6|sub si,ax 
 29c7|sub di,ax 
 29c8|sub ax,cx 
 29c9|sub cx,cx 
 29ca|sub dx,cx 
 29cb|sub bx,cx 
 29cc|sub sp,cx 
 29cd|sub bp,cx 
 29ce|sub si,cx 
 29cf|sub di,cx 
 29d0|sub ax,dx 
 29d1|sub cx,dx 
 29d2|sub dx,dx 
 29d3|sub bx,dx 
 29d4|sub sp,dx 
 29d5|sub bp,dx 
 29d6|sub si,dx 
 29d7|sub di,dx 
 29d8|sub ax,bx 
 29d9|sub cx,bx 
 29da|sub dx,bx 
 29db|sub bx,bx 
 29dc|sub sp,bx 
 29dd|sub bp,bx 
 29de|sub si,bx 
 29df|sub di,bx 
 29e0|sub ax,sp 
 29e1|sub cx,sp 
 29e2|sub dx,sp 
 29e3|sub bx,sp 
 29e4|sub sp,sp 
 29e5|sub bp,sp 
 29e6|sub si,sp 
 29e7|sub di,sp 
 29e8|sub ax,bp 
 29e9|sub cx,bp 
 29ea|sub dx,bp 
 29eb|sub bx,bp 
 29ec|sub sp,bp 
 29ed|sub bp,bp 
 29ee|sub si,bp 
 29ef|sub di,bp 
 29f0|sub ax,si 
 29f1|sub cx,si 
 29f2|sub dx,si 
 29f3|sub bx,si 
 29f4|sub sp,si 
 29f5|sub bp,si 
 29f6|sub si,si 
 29f7|sub di,si 
 29f8|sub ax,di 
 29f9|sub cx,di 
 29fa|sub dx,di 
 29fb|sub bx,di 
 29fc|sub sp,di 
 29fd|sub bp,di 
 29fe|sub si,di 
 29ff|sub di,di 
 2b04|sub ax,[si] 
 2b05|sub ax,[di] 
 2b07|sub ax,[bx] 
 2b0c|sub cx,[si] 
 2b0d|sub cx,[di] 
 2b0f|sub cx,[bx] 
 2b14|sub dx,[si] 
 2b15|sub dx,[di] 
 2b17|sub dx,[bx] 
 2b1c|sub bx,[si] 
 2b1d|sub bx,[di] 
 2b1f|sub bx,[bx] 
 2b24|sub sp,[si] 
 2b25|sub sp,[di] 
 2b27|sub sp,[bx] 
 2b2c|sub bp,[si] 
 2b2d|sub bp,[di] 
 2b2f|sub bp,[bx] 
 2b34|sub si,[si] 
 2b35|sub si,[di] 
 2b37|sub si,[bx] 
 2b3c|sub di,[si] 
 2b3d|sub di,[di] 
 2b3f|sub di,[bx] 
 2b4600|sub ax,[bp] 
 2b4e00|sub cx,[bp] 
 2b5600|sub dx,[bp] 
 2b5e00|sub bx,[bp] 
 2b6600|sub sp,[bp] 
 2b6e00|sub bp,[bp] 
 2b7600|sub si,[bp] 
 2b7e00|sub di,[bp] 
 2cff|sub al,0xff 
 2d0010|sub ax,0x1000 
 2f|das 
 30c0|xor al,al 
 30c1|xor cl,al 
 30c2|xor dl,al 
 30c3|xor bl,al 
 30c4|xor ah,al 
 30c5|xor ch,al 
 30c6|xor dh,al 
 30c7|xor bh,al 
 30c8|xor al,cl 
 30c9|xor cl,cl 
 30ca|xor dl,cl 
 30cb|xor bl,cl 
 30cc|xor ah,cl 
 30cd|xor ch,cl 
 30ce|xor dh,cl 
 30cf|xor bh,cl 
 30d0|xor al,dl 
 30d1|xor cl,dl 
 30d2|xor dl,dl 
 30d3|xor bl,dl 
 30d4|xor ah,dl 
 30d5|xor ch,dl 
 30d6|xor dh,dl 
 30d7|xor bh,dl 
 30d8|xor al,bl 
 30d9|xor cl,bl 
 30da|xor dl,bl 
 30db|xor bl,bl 
 30dc|xor ah,bl 
 30dd|xor ch,bl 
 30de|xor dh,bl 
 30df|xor bh,bl 
 30e0|xor al,ah 
 30e1|xor cl,ah 
 30e2|xor dl,ah 
 30e3|xor bl,ah 
 30e4|xor ah,ah 
 30e5|xor ch,ah 
 30e6|xor dh,ah 
 30e7|xor bh,ah 
