08f3|or bl,dh
08f4|or ah,dh
08f5|or ch,dh
08f6|or dh,dh
08f7|or bh,dh
08f8|or al,bh
08f9|or cl,bh
08fa|or dl,bh
08fb|or bl,bh
08fc|or ah,bh
08fd|or ch,bh
08fe|or dh,bh
08ff|or bh,bh
0904|or [si],ax
0905|or [di],ax
09060010|or [0x1000],ax
0906ff00|or [0xff],ax
0907|or [bx],ax
090c|or [si],cx
090d|or [di],cx
090e0010|or [0x1000],cx
090eff00|or [0xff],cx
090f|or [bx],cx
0914|or [si],dx
0915|or [di],dx
09160010|or [0x1000],dx
0916ff00|or [0xff],dx
0917|or [bx],dx
091c|or [si],bx
091d|or [di],bx
091e0010|or [0x1000],bx
091eff00|or [0xff],bx
091f|or [bx],bx
0924|or [si],sp
0925|or [di],sp
09260010|or [0x1000],sp
0926ff00|or [0xff],sp
0927|or [bx],sp
092c|or [si],bp
092d|or [di],bp
092e0010|or [0x1000],bp
092eff00|or [0xff],bp
092f|or [bx],bp
0934|or [si],si
0935|or [di],si
09360010|or [0x1000],si
0936ff00|or [0xff],si
0937|or [bx],si
093c|or [si],di
093d|or [di],di
093e0010|or [0x1000],di
093eff00|or [0xff],di
093f|or [bx],di
094600|or [bp],ax
094e00|or [bp],cx
095600|or [bp],dx
095e00|or [bp],bx
096600|or [bp],sp
096e00|or [bp],bp
097600|or [bp],si
097e00|or [bp],di
09c0|or ax,ax
09c1|or cx,ax
09c2|or dx,ax
09c3|or bx,ax
09c4|or sp,ax
09c5|or bp,ax
09c6|or si,ax
09c7|or di,ax
09c8|or ax,cx
09c9|or cx,cx
09ca|or dx,cx
09cb|or bx,cx
09cc|or sp,cx
09cd|or bp,cx
09ce|or si,cx
09cf|or di,cx
09d0|or ax,dx
09d1|or cx,dx
09d2|or dx,dx
09d3|or bx,dx
09d4|or sp,dx
09d5|or bp,dx
09d6|or si,dx
09d7|or di,dx
09d8|or ax,bx
09d9|or cx,bx
09da|or dx,bx
09db|or bx,bx
09dc|or sp,bx
09dd|or bp,bx
09de|or si,bx
09df|or di,bx
09e0|or ax,sp
09e1|or cx,sp
09e2|or dx,sp
09e3|or bx,sp
09e4|or sp,sp
09e5|or bp,sp
09e6|or si,sp
09e7|or di,sp
09e8|or ax,bp
09e9|or cx,bp
09ea|or dx,bp
09eb|or bx,bp
09ec|or sp,bp
09ed|or bp,bp
09ee|or si,bp
09ef|or di,bp
09f0|or ax,si
09f1|or cx,si
09f2|or dx,si
09f3|or bx,si
09f4|or sp,si
09f5|or bp,si
