sub bp,bp | 29ed
sub bp,[bp] | 2b6e00
sub bp,0x1000 | 81ed0010
sub [bp],ax | 294600
sub [bp],bx | 295e00
sub [bp],cx | 294e00
sub [bp],dx | 295600
sub [bp],si | 297600
sub [bp],di | 297e00
sub [bp],sp | 296600
sub [bp],bp | 296e00
and ax,ax | 21c0
and ax,bx | 21d8
and ax,cx | 21c8
and ax,dx | 21d0
and ax,si | 21f0
and ax,di | 21f8
and ax,sp | 21e0
and ax,[bx] | 2307
and ax,[si] | 2304
and ax,[di] | 2305
and ax,bp | 21e8
and ax,[bp] | 234600
and ax,0x1000 | 250010
and bx,ax | 21c3
and bx,bx | 21db
and bx,cx | 21cb
and bx,dx | 21d3
and bx,si | 21f3
and bx,di | 21fb
and bx,sp | 21e3
and bx,[bx] | 231f
and bx,[si] | 231c
and bx,[di] | 231d
and bx,bp | 21eb
and bx,[bp] | 235e00
and bx,0x1000 | 81e30010
and cx,ax | 21c1
and cx,bx | 21d9
and cx,cx | 21c9
and cx,dx | 21d1
and cx,si | 21f1
and cx,di | 21f9
and cx,sp | 21e1
and cx,[bx] | 230f
and cx,[si] | 230c
and cx,[di] | 230d
and cx,bp | 21e9
and cx,[bp] | 234e00
and cx,0x1000 | 81e10010
and dx,ax | 21c2
and dx,bx | 21da
and dx,cx | 21ca
and dx,dx | 21d2
and dx,si | 21f2
and dx,di | 21fa
and dx,sp | 21e2
and dx,[bx] | 2317
and dx,[si] | 2314
and dx,[di] | 2315
and dx,bp | 21ea
and dx,[bp] | 235600
and dx,0x1000 | 81e20010
and si,ax | 21c6
and si,bx | 21de
and si,cx | 21ce
and si,dx | 21d6
and si,si | 21f6
and si,di | 21fe
and si,sp | 21e6
and si,[bx] | 2337
and si,[si] | 2334
and si,[di] | 2335
and si,bp | 21ee
and si,[bp] | 237600
and si,0x1000 | 81e60010
and di,ax | 21c7
and di,bx | 21df
and di,cx | 21cf
and di,dx | 21d7
and di,si | 21f7
and di,di | 21ff
and di,sp | 21e7
and di,[bx] | 233f
and di,[si] | 233c
and di,[di] | 233d
and di,bp | 21ef
and di,[bp] | 237e00
and di,0x1000 | 81e70010
and sp,ax | 21c4
and sp,bx | 21dc
and sp,cx | 21cc
and sp,dx | 21d4
and sp,si | 21f4
and sp,di | 21fc
and sp,sp | 21e4
and sp,[bx] | 2327
and sp,[si] | 2324
and sp,[di] | 2325
and sp,bp | 21ec
and sp,[bp] | 236600
and sp,0x1000 | 81e40010
and [bx],ax | 2107
and [bx],bx | 211f
and [bx],cx | 210f
and [bx],dx | 2117
and [bx],si | 2137
and [bx],di | 213f
and [bx],sp | 2127
and [bx],bp | 212f
and [si],ax | 2104
and [si],bx | 211c
and [si],cx | 210c
and [si],dx | 2114
and [si],si | 2134
and [si],di | 213c
and [si],sp | 2124
and [si],bp | 212c
and [di],ax | 2105
and [di],bx | 211d
and [di],cx | 210d
and [di],dx | 2115
and [di],si | 2135
and [di],di | 213d
and [di],sp | 2125
and [di],bp | 212d
and bp,ax | 21c5
and bp,bx | 21dd
and bp,cx | 21cd
and bp,dx | 21d5
