sub esp,0x10000000 | 6681ec00000010
sub [ebx],eax | 66672903
sub [ebx],ebx | 6667291b
sub [ebx],ecx | 6667290b
sub [ebx],edx | 66672913
sub [ebx],esi | 66672933
sub [ebx],edi | 6667293b
sub [ebx],esp | 66672923
sub [ebx],ebp | 6667292b
sub [esi],eax | 66672906
sub [esi],ebx | 6667291e
sub [esi],ecx | 6667290e
sub [esi],edx | 66672916
sub [esi],esi | 66672936
sub [esi],edi | 6667293e
sub [esi],esp | 66672926
sub [esi],ebp | 6667292e
sub [edi],eax | 66672907
sub [edi],ebx | 6667291f
sub [edi],ecx | 6667290f
sub [edi],edx | 66672917
sub [edi],esi | 66672937
sub [edi],edi | 6667293f
sub [edi],esp | 66672927
sub [edi],ebp | 6667292f
sub [esp],eax | 6667290424
sub [esp],ebx | 6667291c24
sub [esp],ecx | 6667290c24
sub [esp],edx | 6667291424
sub [esp],esi | 6667293424
sub [esp],edi | 6667293c24
sub [esp],esp | 6667292424
sub [esp],ebp | 6667292c24
sub ebp,eax | 6629c5
sub ebp,ebx | 6629dd
sub ebp,ecx | 6629cd
sub ebp,edx | 6629d5
sub ebp,esi | 6629f5
sub ebp,edi | 6629fd
sub ebp,esp | 6629e5
sub ebp,[ebx] | 66672b2b
sub ebp,[esi] | 66672b2e
sub ebp,[edi] | 66672b2f
sub ebp,[esp] | 66672b2c24
sub ebp,ebp | 6629ed
sub ebp,[ebp] | 66672b6d00
sub ebp,0x10000000 | 6681ed00000010
sub [ebp],eax | 6667294500
sub [ebp],ebx | 6667295d00
sub [ebp],ecx | 6667294d00
sub [ebp],edx | 6667295500
sub [ebp],esi | 6667297500
sub [ebp],edi | 6667297d00
sub [ebp],esp | 6667296500
sub [ebp],ebp | 6667296d00
and eax,eax | 6621c0
and eax,ebx | 6621d8
and eax,ecx | 6621c8
and eax,edx | 6621d0
and eax,esi | 6621f0
and eax,edi | 6621f8
and eax,esp | 6621e0
and eax,[ebx] | 66672303
and eax,[esi] | 66672306
and eax,[edi] | 66672307
and eax,[esp] | 6667230424
and eax,ebp | 6621e8
and eax,[ebp] | 6667234500
and eax,0x10000000 | 662500000010
and ebx,eax | 6621c3
and ebx,ebx | 6621db
and ebx,ecx | 6621cb
and ebx,edx | 6621d3
and ebx,esi | 6621f3
and ebx,edi | 6621fb
and ebx,esp | 6621e3
and ebx,[ebx] | 6667231b
and ebx,[esi] | 6667231e
and ebx,[edi] | 6667231f
and ebx,[esp] | 6667231c24
and ebx,ebp | 6621eb
and ebx,[ebp] | 6667235d00
and ebx,0x10000000 | 6681e300000010
and ecx,eax | 6621c1
and ecx,ebx | 6621d9
and ecx,ecx | 6621c9
and ecx,edx | 6621d1
and ecx,esi | 6621f1
and ecx,edi | 6621f9
and ecx,esp | 6621e1
and ecx,[ebx] | 6667230b
and ecx,[esi] | 6667230e
and ecx,[edi] | 6667230f
and ecx,[esp] | 6667230c24
and ecx,ebp | 6621e9
and ecx,[ebp] | 6667234d00
and ecx,0x10000000 | 6681e100000010
and edx,eax | 6621c2
and edx,ebx | 6621da
and edx,ecx | 6621ca
and edx,edx | 6621d2
and edx,esi | 6621f2
and edx,edi | 6621fa
and edx,esp | 6621e2
and edx,[ebx] | 66672313
and edx,[esi] | 66672316
and edx,[edi] | 66672317
and edx,[esp] | 6667231424
and edx,ebp | 6621ea
and edx,[ebp] | 6667235500
and edx,0x10000000 | 6681e200000010
and esi,eax | 6621c6
and esi,ebx | 6621de
and esi,ecx | 6621ce
and esi,edx | 6621d6
and esi,esi | 6621f6
and esi,edi | 6621fe
and esi,esp | 6621e6
and esi,[ebx] | 66672333
and esi,[esi] | 66672336
and esi,[edi] | 66672337
and esi,[esp] | 6667233424
and esi,ebp | 6621ee
and esi,[ebp] | 6667237500
and esi,0x10000000 | 6681e600000010
and edi,eax | 6621c7
and edi,ebx | 6621df
and edi,ecx | 6621cf
and edi,edx | 6621d7
and edi,esi | 6621f7
and edi,edi | 6621ff
and edi,esp | 6621e7
and edi,[ebx] | 6667233b
and edi,[esi] | 6667233e
and edi,[edi] | 6667233f
and edi,[esp] | 6667233c24
and edi,ebp | 6621ef
and edi,[ebp] | 6667237d00
and edi,0x10000000 | 6681e700000010
and esp,eax | 6621c4
and esp,ebx | 6621dc
and esp,ecx | 6621cc
and esp,edx | 6621d4
and esp,esi | 6621f4
and esp,edi | 6621fc
and esp,esp | 6621e4
and esp,[ebx] | 66672323
and esp,[esi] | 66672326
and esp,[edi] | 66672327
and esp,[esp] | 6667232424
and esp,ebp | 6621ec
and esp,[ebp] | 6667236500
and esp,0x10000000 | 6681e400000010
and [ebx],eax | 66672103
and [ebx],ebx | 6667211b
and [ebx],ecx | 6667210b
and [ebx],edx | 66672113
and [ebx],esi | 66672133
and [ebx],edi | 6667213b
and [ebx],esp | 66672123
and [ebx],ebp | 6667212b
and [esi],eax | 66672106
and [esi],ebx | 6667211e
and [esi],ecx | 6667210e
and [esi],edx | 66672116
and [esi],esi | 66672136
and [esi],edi | 6667213e
and [esi],esp | 66672126
and [esi],ebp | 6667212e
and [edi],eax | 66672107
and [edi],ebx | 6667211f
and [edi],ecx | 6667210f
and [edi],edx | 66672117
and [edi],esi | 66672137
and [edi],edi | 6667213f
and [edi],esp | 66672127
and [edi],ebp | 6667212f
and [esp],eax | 6667210424
and [esp],ebx | 6667211c24
and [esp],ecx | 6667210c24
and [esp],edx | 6667211424
and [esp],esi | 6667213424
and [esp],edi | 6667213c24
and [esp],esp | 6667212424
and [esp],ebp | 6667212c24
and ebp,eax | 6621c5
and ebp,ebx | 6621dd
and ebp,ecx | 6621cd
and ebp,edx | 6621d5
and ebp,esi | 6621f5
and ebp,edi | 6621fd
and ebp,esp | 6621e5
